1959,774,80
1965,395,40
1917,584,60
1965,747,76
1948,895,92
1915,948,97
1926,619,64
1943,295,31
1968,299,32
1968,384,40
1919,850,88
1969,378,40
1968,826,85
1939,362,39
1958,933,95
1918,461,48
1935,330,35
1965,373,40
1958,676,69
1968,562,58
1950,459,48
1912,850,87
1961,649,67
1966,611,64
1951,919,94
1956,406,43
1955,785,81
1933,784,81
1949,477,50
1920,620,65
1953,245,26
1911,223,24
1926,600,62
1912,810,83
1915,926,95
1960,285,30
1952,639,66
1929,556,58
1967,187,20
1912,449,47
1936,307,33
1933,819,84
1956,426,45
1958,594,62
1921,323,33
1939,668,68
1937,392,41
1949,694,72
1953,726,75
1956,779,80
1926,544,56
1951,233,26
1949,348,38
1919,903,93
1917,302,32
1940,842,86
1968,612,63
1930,979,100
1945,241,26
1923,528,55
